0.0000	0.0880	0.9428	0.1609	0.7946
0.0100	0.1580	0.8980	0.2688	0.8979
0.0200	0.2160	0.8666	0.3458	0.9315
0.0300	0.2430	0.8516	0.3781	0.9415
0.0400	0.2751	0.8331	0.4137	0.9506
0.0500	0.2927	0.8221	0.4317	0.9548
0.0600	0.3154	0.8070	0.4535	0.9594
0.0700	0.3287	0.7977	0.4655	0.9617
0.0800	0.3470	0.7848	0.4812	0.9646
0.0900	0.3581	0.7767	0.4902	0.9662
0.1000	0.3733	0.7648	0.5017	0.9683
0.1100	0.3875	0.7534	0.5117	0.9700
0.1200	0.3963	0.7459	0.5176	0.9710
0.1300	0.4091	0.7352	0.5257	0.9723
0.1400	0.4169	0.7280	0.5302	0.9730
0.1500	0.4286	0.7178	0.5368	0.9741
0.1600	0.4360	0.7111	0.5406	0.9747
0.1700	0.4467	0.7011	0.5457	0.9756
0.1800	0.4534	0.6946	0.5487	0.9761
0.1900	0.4635	0.6853	0.5529	0.9768
0.2000	0.4730	0.6758	0.5565	0.9775
0.2100	0.4793	0.6696	0.5587	0.9779
0.2200	0.4885	0.6601	0.5615	0.9785
0.2300	0.4945	0.6541	0.5632	0.9788
0.2400	0.5032	0.6451	0.5654	0.9793
0.2500	0.5090	0.6392	0.5667	0.9796
0.2600	0.5172	0.6298	0.5680	0.9800
0.2700	0.5226	0.6238	0.5688	0.9802
0.2800	0.5307	0.6149	0.5697	0.9806
0.2900	0.5360	0.6088	0.5701	0.9808
0.3000	0.5438	0.5998	0.5704	0.9811
0.3100	0.5516	0.5909	0.5706	0.9814
0.3200	0.5567	0.5852	0.5706	0.9816
0.3300	0.5643	0.5762	0.5702	0.9818
0.3400	0.5693	0.5701	0.5697	0.9820
0.3500	0.5766	0.5611	0.5687	0.9822
0.3600	0.5813	0.5549	0.5678	0.9823
0.3700	0.5888	0.5459	0.5666	0.9825
0.3800	0.5937	0.5397	0.5654	0.9827
0.3900	0.6009	0.5305	0.5635	0.9828
0.4000	0.6080	0.5209	0.5611	0.9830
0.4100	0.6128	0.5148	0.5595	0.9831
0.4200	0.6196	0.5052	0.5566	0.9832
0.4300	0.6243	0.4990	0.5547	0.9833
0.4400	0.6315	0.4894	0.5514	0.9834
0.4500	0.6363	0.4833	0.5493	0.9834
0.4600	0.6429	0.4734	0.5453	0.9835
0.4700	0.6473	0.4666	0.5423	0.9835
0.4800	0.6543	0.4568	0.5380	0.9836
0.4900	0.6590	0.4502	0.5350	0.9836
0.5000	0.6661	0.4403	0.5302	0.9837
0.5100	0.6733	0.4300	0.5248	0.9837
0.5200	0.6781	0.4231	0.5211	0.9837
0.5300	0.6851	0.4129	0.5153	0.9838
0.5400	0.6899	0.4061	0.5113	0.9838
0.5500	0.6966	0.3955	0.5046	0.9838
0.5600	0.7012	0.3885	0.5000	0.9838
0.5700	0.7078	0.3775	0.4924	0.9837
0.5800	0.7124	0.3700	0.4870	0.9837
0.5900	0.7193	0.3592	0.4791	0.9837
0.6000	0.7259	0.3474	0.4699	0.9836
0.6100	0.7303	0.3397	0.4637	0.9836
0.6200	0.7371	0.3280	0.4539	0.9835
0.6300	0.7417	0.3200	0.4471	0.9835
0.6400	0.7483	0.3079	0.4362	0.9834
0.6500	0.7531	0.2998	0.4289	0.9833
0.6600	0.7605	0.2875	0.4173	0.9832
0.6700	0.7647	0.2789	0.4087	0.9831
0.6800	0.7716	0.2660	0.3956	0.9830
0.6900	0.7766	0.2574	0.3867	0.9829
0.7000	0.7835	0.2444	0.3726	0.9828
0.7100	0.7909	0.2310	0.3575	0.9827
0.7200	0.7958	0.2221	0.3472	0.9826
0.7300	0.8031	0.2085	0.3310	0.9824
0.7400	0.8080	0.1995	0.3199	0.9823
0.7500	0.8159	0.1856	0.3024	0.9821
0.7600	0.8212	0.1762	0.2901	0.9820
0.7700	0.8284	0.1620	0.2710	0.9818
0.7800	0.8335	0.1525	0.2578	0.9817
0.7900	0.8411	0.1382	0.2374	0.9814
0.8000	0.8493	0.1238	0.2161	0.9812
0.8100	0.8548	0.1140	0.2012	0.9811
0.8200	0.8631	0.0995	0.1785	0.9809
0.8300	0.8685	0.0901	0.1632	0.9807
0.8400	0.8769	0.0757	0.1394	0.9805
0.8500	0.8822	0.0668	0.1242	0.9803
0.8600	0.8895	0.0535	0.1009	0.9801
0.8700	0.8946	0.0451	0.0859	0.9799
0.8800	0.9005	0.0333	0.0642	0.9797
0.8900	0.9062	0.0262	0.0509	0.9796
0.9000	0.9143	0.0170	0.0334	0.9794
0.9100	0.9131	0.0101	0.0199	0.9793
0.9200	0.9134	0.0066	0.0131	0.9792
0.9300	0.9208	0.0029	0.0058	0.9792
0.9400	0.9271	0.0015	0.0030	0.9791
0.9500	0.9441	0.0005	0.0009	0.9791
0.9600	0.9833	0.0002	0.0004	0.9791
0.9700	1.0000	0.0000	0.0000	0.9791
0.9800	1.0000	0.0000	0.0000	0.9791
0.9900	1.0000	0.0000	0.0000	0.9791
